Date,Region,Province,Prize,Numbers
2024-06-05,MB,Hà Nội,ĐB,99616
2024-06-05,MB,Hà Nội,1,59757
2024-06-05,MB,Hà Nội,2,35250
2024-06-05,MB,Hà Nội,3,51038 - 79020 - 37067 - 35023 - 98308 - 43907
2024-06-05,MB,Hà Nội,4,12155 - 50057 - 71449 - 08347 - 31332 - 26317
2024-06-05,MB,Hà Nội,5,02754 - 46669 - 72238
2024-06-05,MB,Hà Nội,6,51929 - 26897 - 69181
2024-06-05,MB,Hà Nội,7,93697 - 22472 - 90692 - 24089
2024-06-05,MT,Đà Nẵng,ĐB,42792
2024-06-05,MT,Đà Nẵng,1,34250
2024-06-05,MT,Đà Nẵng,2,11536
2024-06-05,MT,Đà Nẵng,3,26974 - 40570 - 26905 - 05108 - 35780 - 11960
2024-06-05,MT,Đà Nẵng,4,75219 - 41029 - 85286 - 97434 - 22373 - 00403
2024-06-05,MT,Đà Nẵng,5,92066 - 64215 - 34313
2024-06-05,MT,Đà Nẵng,6,40493 - 15638 - 86043
2024-06-05,MT,Đà Nẵng,7,33891 - 05877 - 30282 - 59904
2024-06-05,MT,Đà Nẵng,8,37256
2024-06-05,MT,Khánh Hòa,ĐB,60522
2024-06-05,MT,Khánh Hòa,1,35403
2024-06-05,MT,Khánh Hòa,2,32703
2024-06-05,MT,Khánh Hòa,3,11461 - 29923 - 08294 - 46944 - 59987 - 11652
2024-06-05,MT,Khánh Hòa,4,66724 - 64676 - 81059 - 26577 - 93901 - 22845
2024-06-05,MT,Khánh Hòa,5,49121 - 95417 - 09973
2024-06-05,MT,Khánh Hòa,6,70556 - 74332 - 46082
2024-06-05,MT,Khánh Hòa,7,19636 - 70727 - 11155 - 85526
2024-06-05,MT,Khánh Hòa,8,44126
2024-06-05,MN,TP. HCM,ĐB,97881
2024-06-05,MN,TP. HCM,1,70264
2024-06-05,MN,TP. HCM,2,58858
2024-06-05,MN,TP. HCM,3,03883 - 98657 - 26209 - 90022 - 93969 - 75958
2024-06-05,MN,TP. HCM,4,01271 - 43786 - 55216 - 41366 - 06061 - 59761
2024-06-05,MN,TP. HCM,5,84933 - 98237 - 03557
2024-06-05,MN,TP. HCM,6,65280 - 73630 - 42120
2024-06-05,MN,TP. HCM,7,88703 - 59039 - 95407 - 87032
2024-06-05,MN,TP. HCM,8,14749
2024-06-05,MN,Đồng Tháp,ĐB,40930
2024-06-05,MN,Đồng Tháp,1,07302
2024-06-05,MN,Đồng Tháp,2,31625
2024-06-05,MN,Đồng Tháp,3,33970 - 73116 - 20068 - 77501 - 77168 - 36116
2024-06-05,MN,Đồng Tháp,4,72848 - 08170 - 13855 - 29338 - 67198 - 73294
2024-06-05,MN,Đồng Tháp,5,88637 - 38786 - 95153
2024-06-05,MN,Đồng Tháp,6,53830 - 76833 - 17077
2024-06-05,MN,Đồng Tháp,7,96388 - 37953 - 31256 - 54711
2024-06-05,MN,Đồng Tháp,8,35624
2024-06-05,MN,Cà Mau,ĐB,90448
2024-06-05,MN,Cà Mau,1,93525
2024-06-05,MN,Cà Mau,2,54545
2024-06-05,MN,Cà Mau,3,36345 - 88628 - 99234 - 34499 - 08833 - 21931
2024-06-05,MN,Cà Mau,4,17969 - 43387 - 59825 - 03818 - 20522 - 96119
2024-06-05,MN,Cà Mau,5,84183 - 33263 - 07672
2024-06-05,MN,Cà Mau,6,40990 - 85746 - 44310
2024-06-05,MN,Cà Mau,7,31436 - 31462 - 39787 - 58551
2024-06-05,MN,Cà Mau,8,32793
2024-06-06,MB,Hà Nội,ĐB,06684
2024-06-06,MB,Hà Nội,1,76180
2024-06-06,MB,Hà Nội,2,37726
2024-06-06,MB,Hà Nội,3,92825 - 27242 - 46914 - 86787 - 00037 - 96700
2024-06-06,MB,Hà Nội,4,01058 - 11100 - 50359 - 04437 - 76026 - 17998
2024-06-06,MB,Hà Nội,5,12012 - 60817 - 17498
2024-06-06,MB,Hà Nội,6,20722 - 08408 - 26620
2024-06-06,MB,Hà Nội,7,48655 - 74223 - 79827 - 52205
2024-06-06,MT,Đà Nẵng,ĐB,05174
2024-06-06,MT,Đà Nẵng,1,97522
2024-06-06,MT,Đà Nẵng,2,73029
2024-06-06,MT,Đà Nẵng,3,50809 - 94139 - 13795 - 53195 - 88914 - 49936
2024-06-06,MT,Đà Nẵng,4,93370 - 14660 - 23882 - 77540 - 16750 - 47315
2024-06-06,MT,Đà Nẵng,5,99776 - 19646 - 86106
2024-06-06,MT,Đà Nẵng,6,35868 - 11804 - 90311
2024-06-06,MT,Đà Nẵng,7,55665 - 05692 - 88416 - 23321
2024-06-06,MT,Đà Nẵng,8,57246
2024-06-06,MT,Khánh Hòa,ĐB,31113
2024-06-06,MT,Khánh Hòa,1,78454
2024-06-06,MT,Khánh Hòa,2,22320
2024-06-06,MT,Khánh Hòa,3,63599 - 50386 - 97524 - 06082 - 54638 - 88368
2024-06-06,MT,Khánh Hòa,4,02810 - 13753 - 74248 - 38833 - 06209 - 69750
2024-06-06,MT,Khánh Hòa,5,76116 - 76634 - 93985
2024-06-06,MT,Khánh Hòa,6,67368 - 27975 - 41860
2024-06-06,MT,Khánh Hòa,7,63692 - 66295 - 14722 - 57822
2024-06-06,MT,Khánh Hòa,8,27256
2024-06-06,MN,TP. HCM,ĐB,34301
2024-06-06,MN,TP. HCM,1,83373
2024-06-06,MN,TP. HCM,2,33506
2024-06-06,MN,TP. HCM,3,53078 - 80109 - 28528 - 93911 - 08484 - 18659
2024-06-06,MN,TP. HCM,4,06675 - 47995 - 81903 - 97647 - 91763 - 18809
2024-06-06,MN,TP. HCM,5,51409 - 11361 - 76812
2024-06-06,MN,TP. HCM,6,23200 - 27175 - 88096
2024-06-06,MN,TP. HCM,7,66928 - 01972 - 84723 - 20657
2024-06-06,MN,TP. HCM,8,28715
2024-06-06,MN,Đồng Tháp,ĐB,06467
2024-06-06,MN,Đồng Tháp,1,71471
2024-06-06,MN,Đồng Tháp,2,80908
2024-06-06,MN,Đồng Tháp,3,73100 - 50593 - 51013 - 52147 - 98967 - 63589
2024-06-06,MN,Đồng Tháp,4,12470 - 97104 - 47893 - 24038 - 14587 - 68211
2024-06-06,MN,Đồng Tháp,5,46563 - 13800 - 63099
2024-06-06,MN,Đồng Tháp,6,49050 - 89553 - 16089
2024-06-06,MN,Đồng Tháp,7,37964 - 09308 - 41014 - 99552
2024-06-06,MN,Đồng Tháp,8,32409
2024-06-06,MN,Cà Mau,ĐB,22914
2024-06-06,MN,Cà Mau,1,45691
2024-06-06,MN,Cà Mau,2,06499
2024-06-06,MN,Cà Mau,3,19625 - 25475 - 28143 - 13321 - 24863 - 15280
2024-06-06,MN,Cà Mau,4,54113 - 25974 - 62541 - 89530 - 37213 - 16875
2024-06-06,MN,Cà Mau,5,66907 - 23880 - 73645
2024-06-06,MN,Cà Mau,6,11297 - 02350 - 53664
2024-06-06,MN,Cà Mau,7,97200 - 34385 - 37278 - 56609
2024-06-06,MN,Cà Mau,8,08419
2024-06-07,MB,Hà Nội,ĐB,33363
2024-06-07,MB,Hà Nội,1,72986
2024-06-07,MB,Hà Nội,2,44952
2024-06-07,MB,Hà Nội,3,76561 - 30864 - 75819 - 79245 - 26247 - 19406
2024-06-07,MB,Hà Nội,4,34518 - 15594 - 26537 - 59287 - 12721 - 35489
2024-06-07,MB,Hà Nội,5,25947 - 44590 - 79524
2024-06-07,MB,Hà Nội,6,68849 - 49691 - 65976
2024-06-07,MB,Hà Nội,7,32189 - 20329 - 81646 - 19901
2024-06-07,MT,Đà Nẵng,ĐB,97226
2024-06-07,MT,Đà Nẵng,1,67393
2024-06-07,MT,Đà Nẵng,2,89795
2024-06-07,MT,Đà Nẵng,3,71432 - 38428 - 96503 - 27890 - 92744 - 58204
2024-06-07,MT,Đà Nẵng,4,72046 - 12515 - 63040 - 30566 - 05612 - 63550
2024-06-07,MT,Đà Nẵng,5,86617 - 91346 - 19448
2024-06-07,MT,Đà Nẵng,6,60436 - 51772 - 83386
2024-06-07,MT,Đà Nẵng,7,13269 - 45569 - 32900 - 65499
2024-06-07,MT,Đà Nẵng,8,66347
2024-06-07,MT,Khánh Hòa,ĐB,48050
2024-06-07,MT,Khánh Hòa,1,77452
2024-06-07,MT,Khánh Hòa,2,33293
2024-06-07,MT,Khánh Hòa,3,97070 - 22678 - 88349 - 18989 - 22774 - 14348
2024-06-07,MT,Khánh Hòa,4,48811 - 62999 - 20366 - 95034 - 40699 - 82293
2024-06-07,MT,Khánh Hòa,5,09177 - 75936 - 70283
2024-06-07,MT,Khánh Hòa,6,67915 - 66262 - 36319
2024-06-07,MT,Khánh Hòa,7,43946 - 77738 - 77993 - 58154
2024-06-07,MT,Khánh Hòa,8,43611
2024-06-07,MN,TP. HCM,ĐB,59781
2024-06-07,MN,TP. HCM,1,73861
2024-06-07,MN,TP. HCM,2,90776
2024-06-07,MN,TP. HCM,3,00786 - 90199 - 75267 - 21990 - 55582 - 12200
2024-06-07,MN,TP. HCM,4,49425 - 53387 - 91678 - 59415 - 29526 - 98164
2024-06-07,MN,TP. HCM,5,13896 - 53548 - 06050
2024-06-07,MN,TP. HCM,6,14658 - 49641 - 29367
2024-06-07,MN,TP. HCM,7,53060 - 39294 - 33186 - 77477
2024-06-07,MN,TP. HCM,8,41195
2024-06-07,MN,Đồng Tháp,ĐB,60555
2024-06-07,MN,Đồng Tháp,1,00654
2024-06-07,MN,Đồng Tháp,2,98918
2024-06-07,MN,Đồng Tháp,3,74582 - 84658 - 48185 - 73885 - 37377 - 25559
2024-06-07,MN,Đồng Tháp,4,80330 - 66347 - 21635 - 14638 - 16495 - 04960
2024-06-07,MN,Đồng Tháp,5,85902 - 60383 - 75571
2024-06-07,MN,Đồng Tháp,6,09606 - 63058 - 13084
2024-06-07,MN,Đồng Tháp,7,89446 - 86030 - 09099 - 49915
2024-06-07,MN,Đồng Tháp,8,06934
2024-06-07,MN,Cà Mau,ĐB,41865
2024-06-07,MN,Cà Mau,1,02934
2024-06-07,MN,Cà Mau,2,63314
2024-06-07,MN,Cà Mau,3,78383 - 35781 - 09143 - 76346 - 51094 - 27987
2024-06-07,MN,Cà Mau,4,94704 - 62979 - 65486 - 52239 - 04463 - 19194
2024-06-07,MN,Cà Mau,5,79056 - 45566 - 96239
2024-06-07,MN,Cà Mau,6,03683 - 51342 - 83229
2024-06-07,MN,Cà Mau,7,20834 - 33923 - 38008 - 29663
2024-06-07,MN,Cà Mau,8,34884
2024-06-08,MB,Hà Nội,ĐB,21678
2024-06-08,MB,Hà Nội,1,64991
2024-06-08,MB,Hà Nội,2,83315
2024-06-08,MB,Hà Nội,3,46045 - 35352 - 94216 - 91529 - 77582 - 25688
2024-06-08,MB,Hà Nội,4,11148 - 32637 - 04977 - 85622 - 51617 - 84765
2024-06-08,MB,Hà Nội,5,04622 - 25432 - 37714
2024-06-08,MB,Hà Nội,6,95435 - 55123 - 67613
2024-06-08,MB,Hà Nội,7,09080 - 51373 - 40287 - 67656
2024-06-08,MT,Đà Nẵng,ĐB,27002
2024-06-08,MT,Đà Nẵng,1,76960
2024-06-08,MT,Đà Nẵng,2,95477
2024-06-08,MT,Đà Nẵng,3,68594 - 00767 - 51181 - 41961 - 23888 - 08850
2024-06-08,MT,Đà Nẵng,4,88244 - 77148 - 64133 - 53218 - 93476 - 88345
2024-06-08,MT,Đà Nẵng,5,85302 - 98247 - 85204
2024-06-08,MT,Đà Nẵng,6,86926 - 91220 - 93704
