Date,Region,Province,Prize,Numbers
2025-04-01,MB,Hà Nội,ĐB,62814
2025-04-01,MB,Hà Nội,1,93231
2025-04-01,MB,Hà Nội,2,07254
2025-04-01,MB,Hà Nội,3,08993 - 18992 - 85058 - 16829 - 62812 - 06663
2025-04-01,MB,Hà Nội,4,50013 - 69322 - 25150 - 80449 - 99568 - 20065
2025-04-01,MB,Hà Nội,5,85056 - 18728 - 74289
2025-04-01,MB,Hà Nội,6,54177 - 17904 - 74996
2025-04-01,MB,Hà Nội,7,53974 - 16080 - 50890 - 01899
2025-04-01,MT,Đà Nẵng,ĐB,68294
2025-04-01,MT,Đà Nẵng,1,22899
2025-04-01,MT,Đà Nẵng,2,38638
2025-04-01,MT,Đà Nẵng,3,77829 - 38860 - 66540 - 63999 - 64383 - 98622
2025-04-01,MT,Đà Nẵng,4,11183 - 00234 - 78392 - 97428 - 28467 - 43619
2025-04-01,MT,Đà Nẵng,5,23991 - 97751 - 84430
2025-04-01,MT,Đà Nẵng,6,43350 - 30801 - 66323
2025-04-01,MT,Đà Nẵng,7,73706 - 40967 - 65358 - 05464
2025-04-01,MT,Đà Nẵng,8,01948
2025-04-01,MT,Khánh Hòa,ĐB,14881
2025-04-01,MT,Khánh Hòa,1,29793
2025-04-01,MT,Khánh Hòa,2,38398
2025-04-01,MT,Khánh Hòa,3,73751 - 76575 - 58367 - 96681 - 94052 - 59141
2025-04-01,MT,Khánh Hòa,4,90999 - 44611 - 36827 - 78409 - 09860 - 54970
2025-04-01,MT,Khánh Hòa,5,85592 - 53258 - 87265
2025-04-01,MT,Khánh Hòa,6,47481 - 15911 - 71581
2025-04-01,MT,Khánh Hòa,7,25178 - 82144 - 65219 - 48310
2025-04-01,MT,Khánh Hòa,8,77088
2025-04-01,MN,TP. HCM,ĐB,24483
2025-04-01,MN,TP. HCM,1,85952
2025-04-01,MN,TP. HCM,2,22068
2025-04-01,MN,TP. HCM,3,26503 - 06369 - 13871 - 47616 - 09544 - 32925
2025-04-01,MN,TP. HCM,4,52552 - 62807 - 90935 - 07478 - 89681 - 13696
2025-04-01,MN,TP. HCM,5,63438 - 93718 - 72917
2025-04-01,MN,TP. HCM,6,76713 - 48630 - 30211
2025-04-01,MN,TP. HCM,7,43638 - 66202 - 17963 - 08351
2025-04-01,MN,TP. HCM,8,11714
2025-04-01,MN,Đồng Tháp,ĐB,51086
2025-04-01,MN,Đồng Tháp,1,60702
2025-04-01,MN,Đồng Tháp,2,74288
2025-04-01,MN,Đồng Tháp,3,55511 - 70283 - 58298 - 89985 - 85671 - 90230
2025-04-01,MN,Đồng Tháp,4,01719 - 95637 - 39035 - 26317 - 48819 - 89095
2025-04-01,MN,Đồng Tháp,5,97900 - 29298 - 48034
2025-04-01,MN,Đồng Tháp,6,31869 - 53853 - 95445
2025-04-01,MN,Đồng Tháp,7,65264 - 55082 - 51795 - 65336
2025-04-01,MN,Đồng Tháp,8,95619
2025-04-01,MN,Cà Mau,ĐB,85984
2025-04-01,MN,Cà Mau,1,01596
2025-04-01,MN,Cà Mau,2,38691
2025-04-01,MN,Cà Mau,3,99520 - 78407 - 54029 - 33745 - 91970 - 38706
2025-04-01,MN,Cà Mau,4,30094 - 91745 - 10639 - 86070 - 46551 - 03619
2025-04-01,MN,Cà Mau,5,81421 - 04875 - 10845
2025-04-01,MN,Cà Mau,6,00995 - 34387 - 82521
2025-04-01,MN,Cà Mau,7,02265 - 72255 - 54329 - 28414
2025-04-01,MN,Cà Mau,8,00028
2025-04-02,MB,Hà Nội,ĐB,42618
2025-04-02,MB,Hà Nội,1,10864
2025-04-02,MB,Hà Nội,2,36388
2025-04-02,MB,Hà Nội,3,42787 - 94144 - 90127 - 14618 - 03126 - 67747
2025-04-02,MB,Hà Nội,4,99419 - 93324 - 83130 - 14076 - 54937 - 90469
2025-04-02,MB,Hà Nội,5,55300 - 19158 - 74155
2025-04-02,MB,Hà Nội,6,51525 - 88014 - 28386
2025-04-02,MB,Hà Nội,7,16389 - 54845 - 52192 - 18099
2025-04-02,MT,Đà Nẵng,ĐB,68166
2025-04-02,MT,Đà Nẵng,1,57278
2025-04-02,MT,Đà Nẵng,2,25739
2025-04-02,MT,Đà Nẵng,3,82507 - 58297 - 60011 - 02356 - 03300 - 03798
2025-04-02,MT,Đà Nẵng,4,61881 - 72242 - 05065 - 33016 - 60183 - 68545
2025-04-02,MT,Đà Nẵng,5,63554 - 65321 - 24564
2025-04-02,MT,Đà Nẵng,6,98220 - 91330 - 23237
2025-04-02,MT,Đà Nẵng,7,34883 - 92716 - 16225 - 76683
2025-04-02,MT,Đà Nẵng,8,19432
2025-04-02,MT,Khánh Hòa,ĐB,49517
2025-04-02,MT,Khánh Hòa,1,64693
2025-04-02,MT,Khánh Hòa,2,41720
2025-04-02,MT,Khánh Hòa,3,93766 - 09531 - 67818 - 46257 - 73503 - 44401
2025-04-02,MT,Khánh Hòa,4,33415 - 27671 - 65571 - 33073 - 97100 - 38724
2025-04-02,MT,Khánh Hòa,5,66012 - 27444 - 21324
2025-04-02,MT,Khánh Hòa,6,53633 - 99794 - 25313
2025-04-02,MT,Khánh Hòa,7,68949 - 69877 - 24559 - 91994
2025-04-02,MT,Khánh Hòa,8,04384
2025-04-02,MN,TP. HCM,ĐB,82382
2025-04-02,MN,TP. HCM,1,51536
2025-04-02,MN,TP. HCM,2,89242
2025-04-02,MN,TP. HCM,3,09224 - 59663 - 11126 - 27549 - 78934 - 82056
2025-04-02,MN,TP. HCM,4,23916 - 22440 - 16058 - 43797 - 11911 - 50053
2025-04-02,MN,TP. HCM,5,67196 - 76603 - 08818
2025-04-02,MN,TP. HCM,6,74810 - 55172 - 06200
2025-04-02,MN,TP. HCM,7,15674 - 14929 - 25407 - 11207
2025-04-02,MN,TP. HCM,8,69104
2025-04-02,MN,Đồng Tháp,ĐB,31747
2025-04-02,MN,Đồng Tháp,1,00186
2025-04-02,MN,Đồng Tháp,2,15966
2025-04-02,MN,Đồng Tháp,3,32638 - 08856 - 67485 - 17446 - 37812 - 59322
2025-04-02,MN,Đồng Tháp,4,79863 - 26056 - 28734 - 94184 - 99642 - 71162
2025-04-02,MN,Đồng Tháp,5,71138 - 75197 - 76892
2025-04-02,MN,Đồng Tháp,6,48836 - 09140 - 95223
2025-04-02,MN,Đồng Tháp,7,92093 - 22318 - 34372 - 85469
2025-04-02,MN,Đồng Tháp,8,38546
2025-04-02,MN,Cà Mau,ĐB,66502
2025-04-02,MN,Cà Mau,1,18337
2025-04-02,MN,Cà Mau,2,75206
2025-04-02,MN,Cà Mau,3,68562 - 80386 - 19856 - 49826 - 51510 - 59057
2025-04-02,MN,Cà Mau,4,18806 - 50922 - 31275 - 34470 - 36747 - 45380
2025-04-02,MN,Cà Mau,5,21086 - 76542 - 48436
2025-04-02,MN,Cà Mau,6,92142 - 23482 - 72862
2025-04-02,MN,Cà Mau,7,28908 - 55378 - 79585 - 44061
2025-04-02,MN,Cà Mau,8,44298
2025-04-03,MB,Hà Nội,ĐB,85556
2025-04-03,MB,Hà Nội,1,02055
2025-04-03,MB,Hà Nội,2,79293
2025-04-03,MB,Hà Nội,3,43983 - 00743 - 21073 - 56206 - 27075 - 04430
