Date,Region,Province,Prize,Numbers
2026-07-01,MB,Hà Nội,ĐB,61552
2026-07-01,MB,Hà Nội,1,22277
2026-07-01,MB,Hà Nội,2,61020
2026-07-01,MB,Hà Nội,3,68662 - 15871 - 77660 - 26461 - 46255 - 01236
2026-07-01,MB,Hà Nội,4,53204 - 06281 - 40861 - 35794 - 14070 - 31958
2026-07-01,MB,Hà Nội,5,32192 - 39162 - 33857
2026-07-01,MB,Hà Nội,6,11130 - 69622 - 76513
2026-07-01,MB,Hà Nội,7,71770 - 42850 - 80034 - 91860
2026-07-01,MT,Đà Nẵng,ĐB,16157
2026-07-01,MT,Đà Nẵng,1,40677
2026-07-01,MT,Đà Nẵng,2,07144
2026-07-01,MT,Đà Nẵng,3,10649 - 95868 - 96320 - 31805 - 04545 - 89313
2026-07-01,MT,Đà Nẵng,4,95621 - 00250 - 93164 - 91510 - 13872 - 92917
2026-07-01,MT,Đà Nẵng,5,56068 - 74093 - 09100
2026-07-01,MT,Đà Nẵng,6,96912 - 19068 - 91701
2026-07-01,MT,Đà Nẵng,7,86031 - 99286 - 45816 - 44120
2026-07-01,MT,Đà Nẵng,8,90209
2026-07-01,MT,Khánh Hòa,ĐB,16097
2026-07-01,MT,Khánh Hòa,1,38717
2026-07-01,MT,Khánh Hòa,2,34643
2026-07-01,MT,Khánh Hòa,3,35036 - 73358 - 07304 - 92198 - 62975 - 04150
2026-07-01,MT,Khánh Hòa,4,77684 - 43676 - 68656 - 71515 - 85644 - 84801
2026-07-01,MT,Khánh Hòa,5,26719 - 30146 - 24224
2026-07-01,MT,Khánh Hòa,6,39364 - 06788 - 46229
2026-07-01,MT,Khánh Hòa,7,73109 - 62997 - 53800 - 26781
2026-07-01,MT,Khánh Hòa,8,75852
2026-07-01,MN,TP. HCM,ĐB,15971
2026-07-01,MN,TP. HCM,1,09853
2026-07-01,MN,TP. HCM,2,83269
2026-07-01,MN,TP. HCM,3,68358 - 71112 - 80746 - 87850 - 33710 - 84762
2026-07-01,MN,TP. HCM,4,03735 - 95788 - 28207 - 45418 - 90552 - 11484
2026-07-01,MN,TP. HCM,5,13877 - 55252 - 67003
2026-07-01,MN,TP. HCM,6,03669 - 27756 - 01276
2026-07-01,MN,TP. HCM,7,18581 - 69399 - 96966 - 45903
2026-07-01,MN,TP. HCM,8,18699
2026-07-01,MN,Đồng Tháp,ĐB,82753
2026-07-01,MN,Đồng Tháp,1,54805
2026-07-01,MN,Đồng Tháp,2,14994
2026-07-01,MN,Đồng Tháp,3,95475 - 51797 - 42147 - 77054 - 21037 - 09061
2026-07-01,MN,Đồng Tháp,4,36184 - 22648 - 76690 - 61265 - 56615 - 68291
2026-07-01,MN,Đồng Tháp,5,80062 - 63400 - 32571
2026-07-01,MN,Đồng Tháp,6,17517 - 90890 - 01436
2026-07-01,MN,Đồng Tháp,7,36618 - 95437 - 00473 - 90009
2026-07-01,MN,Đồng Tháp,8,66725
2026-07-01,MN,Cà Mau,ĐB,07768
2026-07-01,MN,Cà Mau,1,82298
2026-07-01,MN,Cà Mau,2,41450
2026-07-01,MN,Cà Mau,3,84274 - 53492 - 35918 - 11738 - 46550 - 56711
2026-07-01,MN,Cà Mau,4,83505 - 39284 - 13506 - 81570 - 94705 - 21334
2026-07-01,MN,Cà Mau,5,55456 - 83359 - 86944
2026-07-01,MN,Cà Mau,6,94368 - 44137 - 77137
2026-07-01,MN,Cà Mau,7,91292 - 30696 - 99839 - 68374
2026-07-01,MN,Cà Mau,8,73060
2026-07-02,MB,Hà Nội,ĐB,71108
2026-07-02,MB,Hà Nội,1,78839
2026-07-02,MB,Hà Nội,2,65192
2026-07-02,MB,Hà Nội,3,15125 - 18220 - 22986 - 09153 - 13586 - 38369
2026-07-02,MB,Hà Nội,4,57722 - 98379 - 16988 - 46729 - 76707 - 60786
2026-07-02,MB,Hà Nội,5,17071 - 93830 - 83235
2026-07-02,MB,Hà Nội,6,21618 - 11423 - 77123
2026-07-02,MB,Hà Nội,7,31988 - 65319 - 43949 - 57930
2026-07-02,MT,Đà Nẵng,ĐB,68205
2026-07-02,MT,Đà Nẵng,1,67849
2026-07-02,MT,Đà Nẵng,2,22401
2026-07-02,MT,Đà Nẵng,3,78335 - 22761 - 50709 - 79331 - 99060 - 55386
2026-07-02,MT,Đà Nẵng,4,97059 - 53150 - 55220 - 24819 - 89390 - 58029
2026-07-02,MT,Đà Nẵng,5,42932 - 88791 - 74315
2026-07-02,MT,Đà Nẵng,6,82892 - 54957 - 61394
2026-07-02,MT,Đà Nẵng,7,52801 - 51603 - 33371 - 54879
2026-07-02,MT,Đà Nẵng,8,43104
2026-07-02,MT,Khánh Hòa,ĐB,60671
2026-07-02,MT,Khánh Hòa,1,84414
2026-07-02,MT,Khánh Hòa,2,62245
