Date,Region,Province,Prize,Numbers
2026-01-01,MB,Hà Nội,ĐB,18116
2026-01-01,MB,Hà Nội,1,59099
2026-01-01,MB,Hà Nội,2,72292
2026-01-01,MB,Hà Nội,3,04749 - 48624 - 62137 - 84672 - 97102 - 28578
2026-01-01,MB,Hà Nội,4,32952 - 93230 - 76220 - 55322 - 82049 - 34473
2026-01-01,MB,Hà Nội,5,30791 - 12435 - 47428
2026-01-01,MB,Hà Nội,6,51500 - 07862 - 45046
2026-01-01,MB,Hà Nội,7,19987 - 10652 - 64323 - 04689
2026-01-01,MT,Đà Nẵng,ĐB,63260
2026-01-01,MT,Đà Nẵng,1,28883
2026-01-01,MT,Đà Nẵng,2,59493
2026-01-01,MT,Đà Nẵng,3,08095 - 69119 - 87919 - 40713 - 31610 - 21378
2026-01-01,MT,Đà Nẵng,4,51225 - 22863 - 19473 - 16737 - 76132 - 97259
2026-01-01,MT,Đà Nẵng,5,48499 - 76758 - 77048
2026-01-01,MT,Đà Nẵng,6,88767 - 49098 - 93885
2026-01-01,MT,Đà Nẵng,7,73824 - 21220 - 87677 - 43340
2026-01-01,MT,Đà Nẵng,8,03503
2026-01-01,MT,Khánh Hòa,ĐB,22032
2026-01-01,MT,Khánh Hòa,1,02267
2026-01-01,MT,Khánh Hòa,2,52301
2026-01-01,MT,Khánh Hòa,3,01117 - 47282 - 86518 - 49159 - 44681 - 43730
2026-01-01,MT,Khánh Hòa,4,45308 - 01296 - 75948 - 09351 - 43534 - 49821
2026-01-01,MT,Khánh Hòa,5,68040 - 27628 - 54571
2026-01-01,MT,Khánh Hòa,6,79852 - 54983 - 53601
2026-01-01,MT,Khánh Hòa,7,14243 - 81978 - 88548 - 02575
2026-01-01,MT,Khánh Hòa,8,41116
2026-01-01,MN,TP. HCM,ĐB,03952
2026-01-01,MN,TP. HCM,1,03748
2026-01-01,MN,TP. HCM,2,57006
2026-01-01,MN,TP. HCM,3,21236 - 11351 - 28999 - 98589 - 68101 - 70962
2026-01-01,MN,TP. HCM,4,82098 - 10226 - 38935 - 95390 - 66112 - 10171
2026-01-01,MN,TP. HCM,5,61702 - 23972 - 59405
2026-01-01,MN,TP. HCM,6,22847 - 53124 - 33401
2026-01-01,MN,TP. HCM,7,19493 - 59574 - 45448 - 41800
2026-01-01,MN,TP. HCM,8,92925
2026-01-01,MN,Đồng Tháp,ĐB,85222
2026-01-01,MN,Đồng Tháp,1,80500
2026-01-01,MN,Đồng Tháp,2,42273
2026-01-01,MN,Đồng Tháp,3,35643 - 66232 - 96489 - 72392 - 20208 - 47822
2026-01-01,MN,Đồng Tháp,4,01736 - 89036 - 52662 - 81555 - 66451 - 80691
2026-01-01,MN,Đồng Tháp,5,73030 - 07978 - 40098
2026-01-01,MN,Đồng Tháp,6,37321 - 23594 - 09083
