Date,Region,Province,Prize,Numbers
2025-07-01,MB,Hà Nội,ĐB,51243
2025-07-01,MB,Hà Nội,1,83888
2025-07-01,MB,Hà Nội,2,18676
2025-07-01,MB,Hà Nội,3,82060 - 50609 - 22859 - 65195 - 25268 - 78200
2025-07-01,MB,Hà Nội,4,90442 - 02987 - 64906 - 40806 - 92178 - 89628
2025-07-01,MB,Hà Nội,5,70175 - 81973 - 03319
2025-07-01,MB,Hà Nội,6,23717 - 70758 - 46195
2025-07-01,MB,Hà Nội,7,09327 - 61334 - 02873 - 62405
2025-07-01,MT,Đà Nẵng,ĐB,69465
2025-07-01,MT,Đà Nẵng,1,53384
2025-07-01,MT,Đà Nẵng,2,34221
2025-07-01,MT,Đà Nẵng,3,91661 - 23145 - 96357 - 74327 - 02253 - 43536
2025-07-01,MT,Đà Nẵng,4,80708 - 39724 - 34457 - 33877 - 09225 - 60878
2025-07-01,MT,Đà Nẵng,5,41191 - 81548 - 86859
2025-07-01,MT,Đà Nẵng,6,89059 - 67791 - 22293
2025-07-01,MT,Đà Nẵng,7,14399 - 53187 - 25302 - 99673
2025-07-01,MT,Đà Nẵng,8,76337
2025-07-01,MT,Khánh Hòa,ĐB,99819
2025-07-01,MT,Khánh Hòa,1,81499
2025-07-01,MT,Khánh Hòa,2,94147
2025-07-01,MT,Khánh Hòa,3,88033 - 78480 - 95704 - 46835 - 98702 - 55366
2025-07-01,MT,Khánh Hòa,4,35680 - 19544 - 50191 - 38690 - 05052 - 23959
2025-07-01,MT,Khánh Hòa,5,44160 - 66596 - 91257
2025-07-01,MT,Khánh Hòa,6,35200 - 24365 - 50167
2025-07-01,MT,Khánh Hòa,7,40322 - 39067 - 49061 - 66762
2025-07-01,MT,Khánh Hòa,8,70728
2025-07-01,MN,TP. HCM,ĐB,85422
2025-07-01,MN,TP. HCM,1,18128
2025-07-01,MN,TP. HCM,2,51422
2025-07-01,MN,TP. HCM,3,18358 - 11374 - 35824 - 37762 - 86366 - 92982
2025-07-01,MN,TP. HCM,4,51762 - 72339 - 73490 - 10796 - 58882 - 72081
2025-07-01,MN,TP. HCM,5,70624 - 53920 - 77727
2025-07-01,MN,TP. HCM,6,01837 - 77241 - 74422
2025-07-01,MN,TP. HCM,7,67803 - 73480 - 35723 - 67941
2025-07-01,MN,TP. HCM,8,09913
2025-07-01,MN,Đồng Tháp,ĐB,84755
2025-07-01,MN,Đồng Tháp,1,83258
2025-07-01,MN,Đồng Tháp,2,63496
2025-07-01,MN,Đồng Tháp,3,10808 - 71681 - 52993 - 30145 - 78810 - 22590
