Date,Region,Province,Prize,Numbers
2025-01-01,MB,Hà Nội,ĐB,82076
2025-01-01,MB,Hà Nội,1,95096
2025-01-01,MB,Hà Nội,2,87507
2025-01-01,MB,Hà Nội,3,52318 - 60671 - 99646 - 83482 - 57242 - 67769
2025-01-01,MB,Hà Nội,4,94107 - 89254 - 26242 - 99525 - 40251 - 32878
2025-01-01,MB,Hà Nội,5,60983 - 69512 - 18062
2025-01-01,MB,Hà Nội,6,98410 - 83259 - 42570
2025-01-01,MB,Hà Nội,7,29715 - 89755 - 19285 - 98961
2025-01-01,MT,Đà Nẵng,ĐB,07327
2025-01-01,MT,Đà Nẵng,1,84503
2025-01-01,MT,Đà Nẵng,2,29930
2025-01-01,MT,Đà Nẵng,3,29430 - 17511 - 69416 - 29548 - 03893 - 63885
2025-01-01,MT,Đà Nẵng,4,52501 - 10430 - 40827 - 47234 - 17583 - 84045
2025-01-01,MT,Đà Nẵng,5,24300 - 15122 - 64782
2025-01-01,MT,Đà Nẵng,6,43853 - 17197 - 13026
2025-01-01,MT,Đà Nẵng,7,34139 - 61265 - 02477 - 85115
2025-01-01,MT,Đà Nẵng,8,31820
2025-01-01,MT,Khánh Hòa,ĐB,97557
2025-01-01,MT,Khánh Hòa,1,04188
2025-01-01,MT,Khánh Hòa,2,42758
2025-01-01,MT,Khánh Hòa,3,82634 - 55034 - 93802 - 89459 - 62808 - 31052
2025-01-01,MT,Khánh Hòa,4,82034 - 01749 - 55826 - 52186 - 36197 - 94225
2025-01-01,MT,Khánh Hòa,5,50845 - 41967 - 40373
2025-01-01,MT,Khánh Hòa,6,94633 - 54943 - 00867
2025-01-01,MT,Khánh Hòa,7,52699 - 77021 - 42793 - 51915
2025-01-01,MT,Khánh Hòa,8,49440
2025-01-01,MN,TP. HCM,ĐB,44760
2025-01-01,MN,TP. HCM,1,64474
2025-01-01,MN,TP. HCM,2,06829
2025-01-01,MN,TP. HCM,3,70505 - 06183 - 44485 - 64390 - 33162 - 64886
2025-01-01,MN,TP. HCM,4,88642 - 56816 - 19862 - 93221 - 09571 - 44531
2025-01-01,MN,TP. HCM,5,66396 - 19316 - 29860
2025-01-01,MN,TP. HCM,6,37762 - 35664 - 30970
2025-01-01,MN,TP. HCM,7,81099 - 08406 - 49376 - 81653
2025-01-01,MN,TP. HCM,8,54492
2025-01-01,MN,Đồng Tháp,ĐB,43538
2025-01-01,MN,Đồng Tháp,1,51034
2025-01-01,MN,Đồng Tháp,2,49279
2025-01-01,MN,Đồng Tháp,3,40029 - 86232 - 19043 - 38830 - 41614 - 20214
2025-01-01,MN,Đồng Tháp,4,89013 - 57267 - 17731 - 54798 - 85654 - 23907
2025-01-01,MN,Đồng Tháp,5,11956 - 76946 - 20121
2025-01-01,MN,Đồng Tháp,6,89664 - 34377 - 28372
2025-01-01,MN,Đồng Tháp,7,67530 - 87719 - 29093 - 29835
2025-01-01,MN,Đồng Tháp,8,08746
2025-01-01,MN,Cà Mau,ĐB,07972
2025-01-01,MN,Cà Mau,1,27259
2025-01-01,MN,Cà Mau,2,56313
2025-01-01,MN,Cà Mau,3,52335 - 27318 - 50423 - 15722 - 70049 - 50874
2025-01-01,MN,Cà Mau,4,61089 - 34619 - 52019 - 88274 - 93708 - 73211
2025-01-01,MN,Cà Mau,5,35440 - 75536 - 48515
2025-01-01,MN,Cà Mau,6,38088 - 99845 - 08143
2025-01-01,MN,Cà Mau,7,45162 - 51352 - 10553 - 39379
2025-01-01,MN,Cà Mau,8,21547
2025-01-02,MB,Hà Nội,ĐB,62522
2025-01-02,MB,Hà Nội,1,76496
2025-01-02,MB,Hà Nội,2,76175
2025-01-02,MB,Hà Nội,3,80570 - 30390 - 44777 - 55974 - 07978 - 20884
2025-01-02,MB,Hà Nội,4,63763 - 32650 - 24164 - 88309 - 20467 - 05840
2025-01-02,MB,Hà Nội,5,44959 - 99036 - 52590
2025-01-02,MB,Hà Nội,6,09995 - 68663 - 56473
2025-01-02,MB,Hà Nội,7,48548 - 27298 - 19322 - 37903
2025-01-02,MT,Đà Nẵng,ĐB,37927
2025-01-02,MT,Đà Nẵng,1,58389
2025-01-02,MT,Đà Nẵng,2,87478
2025-01-02,MT,Đà Nẵng,3,56526 - 95619 - 70214 - 08276 - 78453 - 55003
2025-01-02,MT,Đà Nẵng,4,71497 - 00892 - 82339 - 19245 - 86498 - 34288
2025-01-02,MT,Đà Nẵng,5,41379 - 15820 - 63920
2025-01-02,MT,Đà Nẵng,6,23599 - 50628 - 53718
2025-01-02,MT,Đà Nẵng,7,18365 - 54936 - 99605 - 29485
2025-01-02,MT,Đà Nẵng,8,06368
2025-01-02,MT,Khánh Hòa,ĐB,91840
2025-01-02,MT,Khánh Hòa,1,98492
2025-01-02,MT,Khánh Hòa,2,22204
2025-01-02,MT,Khánh Hòa,3,90751 - 61895 - 88784 - 66262 - 07897 - 93041
2025-01-02,MT,Khánh Hòa,4,52529 - 72454 - 01254 - 49595 - 38709 - 35685
2025-01-02,MT,Khánh Hòa,5,69407 - 54429 - 87614
2025-01-02,MT,Khánh Hòa,6,49519 - 47693 - 16321
2025-01-02,MT,Khánh Hòa,7,08154 - 92032 - 02870 - 89593
2025-01-02,MT,Khánh Hòa,8,18755
2025-01-02,MN,TP. HCM,ĐB,76457
2025-01-02,MN,TP. HCM,1,08554
2025-01-02,MN,TP. HCM,2,98389
2025-01-02,MN,TP. HCM,3,77255 - 67610 - 30125 - 01791 - 00357 - 52089
2025-01-02,MN,TP. HCM,4,04587 - 78500 - 08336 - 77489 - 78414 - 03051
2025-01-02,MN,TP. HCM,5,33575 - 39896 - 59534
2025-01-02,MN,TP. HCM,6,87348 - 62144 - 55892
2025-01-02,MN,TP. HCM,7,32820 - 37895 - 65256 - 30721
2025-01-02,MN,TP. HCM,8,09152
2025-01-02,MN,Đồng Tháp,ĐB,19260
2025-01-02,MN,Đồng Tháp,1,53913
2025-01-02,MN,Đồng Tháp,2,18326
2025-01-02,MN,Đồng Tháp,3,38568 - 17931 - 04340 - 24693 - 83468 - 25341
2025-01-02,MN,Đồng Tháp,4,46269 - 42648 - 67270 - 39586 - 05777 - 17034
2025-01-02,MN,Đồng Tháp,5,79913 - 41929 - 59398
2025-01-02,MN,Đồng Tháp,6,44238 - 82319 - 91939
2025-01-02,MN,Đồng Tháp,7,44235 - 33624 - 66119 - 59760
2025-01-02,MN,Đồng Tháp,8,44944
2025-01-02,MN,Cà Mau,ĐB,50149
2025-01-02,MN,Cà Mau,1,68686
2025-01-02,MN,Cà Mau,2,53696
2025-01-02,MN,Cà Mau,3,51532 - 99779 - 12705 - 95898 - 90688 - 89711
2025-01-02,MN,Cà Mau,4,77621 - 37814 - 59847 - 34826 - 03439 - 76247
2025-01-02,MN,Cà Mau,5,60972 - 87010 - 06107
2025-01-02,MN,Cà Mau,6,95898 - 42593 - 17986
2025-01-02,MN,Cà Mau,7,38858 - 92218 - 67883 - 03763
2025-01-02,MN,Cà Mau,8,20379
2025-01-03,MB,Hà Nội,ĐB,41271
2025-01-03,MB,Hà Nội,1,86564
2025-01-03,MB,Hà Nội,2,57352
2025-01-03,MB,Hà Nội,3,54665 - 62109 - 13655 - 05143 - 00638 - 87196
2025-01-03,MB,Hà Nội,4,50619 - 64379 - 99800 - 66968 - 21481 - 16696
2025-01-03,MB,Hà Nội,5,26502 - 39600 - 99134
2025-01-03,MB,Hà Nội,6,80630 - 14913 - 58535
2025-01-03,MB,Hà Nội,7,52026 - 15853 - 66585 - 36535
2025-01-03,MT,Đà Nẵng,ĐB,19490
2025-01-03,MT,Đà Nẵng,1,84987
2025-01-03,MT,Đà Nẵng,2,25931
2025-01-03,MT,Đà Nẵng,3,99313 - 98711 - 68760 - 35395 - 24797 - 88798
2025-01-03,MT,Đà Nẵng,4,98501 - 73257 - 19718 - 55634 - 10801 - 89485
2025-01-03,MT,Đà Nẵng,5,50757 - 46380 - 77360
2025-01-03,MT,Đà Nẵng,6,29821 - 07036 - 80118
