Date,Region,Province,Prize,Numbers
2025-10-01,MB,Hà Nội,ĐB,21706
2025-10-01,MB,Hà Nội,1,90220
2025-10-01,MB,Hà Nội,2,04099
2025-10-01,MB,Hà Nội,3,38355 - 60636 - 98133 - 90101 - 73120 - 96413
2025-10-01,MB,Hà Nội,4,82657 - 02198 - 13882 - 17666 - 75675 - 55344
2025-10-01,MB,Hà Nội,5,77677 - 22312 - 19833
2025-10-01,MB,Hà Nội,6,23417 - 38096 - 41330
2025-10-01,MB,Hà Nội,7,94127 - 74487 - 14638 - 02774
2025-10-01,MT,Đà Nẵng,ĐB,62635
2025-10-01,MT,Đà Nẵng,1,92597
2025-10-01,MT,Đà Nẵng,2,92286
2025-10-01,MT,Đà Nẵng,3,60566 - 70984 - 54961 - 28843 - 95215 - 32219
2025-10-01,MT,Đà Nẵng,4,96495 - 71659 - 57931 - 08100 - 30529 - 06064
2025-10-01,MT,Đà Nẵng,5,58423 - 26507 - 21817
2025-10-01,MT,Đà Nẵng,6,57189 - 49406 - 74393
2025-10-01,MT,Đà Nẵng,7,86785 - 18295 - 33485 - 92281
2025-10-01,MT,Đà Nẵng,8,63902
2025-10-01,MT,Khánh Hòa,ĐB,35675
2025-10-01,MT,Khánh Hòa,1,88961
2025-10-01,MT,Khánh Hòa,2,50432
2025-10-01,MT,Khánh Hòa,3,75123 - 62404 - 99090 - 02724 - 74868 - 87549
2025-10-01,MT,Khánh Hòa,4,31491 - 00479 - 04345 - 98602 - 25832 - 64760
2025-10-01,MT,Khánh Hòa,5,43326 - 15466 - 28190
2025-10-01,MT,Khánh Hòa,6,45536 - 36680 - 01615
2025-10-01,MT,Khánh Hòa,7,64115 - 84516 - 91610 - 37789
2025-10-01,MT,Khánh Hòa,8,04841
2025-10-01,MN,TP. HCM,ĐB,36152
2025-10-01,MN,TP. HCM,1,65961
2025-10-01,MN,TP. HCM,2,92682
2025-10-01,MN,TP. HCM,3,74629 - 87637 - 18762 - 32230 - 54551 - 38432
2025-10-01,MN,TP. HCM,4,69037 - 20501 - 67732 - 72752 - 20629 - 25989
2025-10-01,MN,TP. HCM,5,69699 - 99387 - 54126
2025-10-01,MN,TP. HCM,6,42459 - 35376 - 79307
2025-10-01,MN,TP. HCM,7,44610 - 18391 - 65836 - 74247
2025-10-01,MN,TP. HCM,8,97143
2025-10-01,MN,Đồng Tháp,ĐB,36601
2025-10-01,MN,Đồng Tháp,1,95593
2025-10-01,MN,Đồng Tháp,2,95340
2025-10-01,MN,Đồng Tháp,3,53354 - 77217 - 30443 - 73076 - 85792 - 50614
2025-10-01,MN,Đồng Tháp,4,86330 - 78890 - 61377 - 74654 - 66367 - 00891
2025-10-01,MN,Đồng Tháp,5,93871 - 79974 - 20358
2025-10-01,MN,Đồng Tháp,6,65012 - 86496 - 20213
2025-10-01,MN,Đồng Tháp,7,21892 - 36005 - 85574 - 46074
2025-10-01,MN,Đồng Tháp,8,76128
2025-10-01,MN,Cà Mau,ĐB,74819
2025-10-01,MN,Cà Mau,1,09777
2025-10-01,MN,Cà Mau,2,13830
2025-10-01,MN,Cà Mau,3,54736 - 09252 - 90016 - 34515 - 05633 - 23173
2025-10-01,MN,Cà Mau,4,63807 - 30470 - 92037 - 13071 - 43583 - 87370
2025-10-01,MN,Cà Mau,5,40541 - 06119 - 96315
2025-10-01,MN,Cà Mau,6,56777 - 29577 - 52873
2025-10-01,MN,Cà Mau,7,72295 - 41598 - 50881 - 94523
2025-10-01,MN,Cà Mau,8,10698
2025-10-02,MB,Hà Nội,ĐB,91108
2025-10-02,MB,Hà Nội,1,15753
2025-10-02,MB,Hà Nội,2,54334
2025-10-02,MB,Hà Nội,3,61694 - 70966 - 87806 - 08919 - 65996 - 89118
2025-10-02,MB,Hà Nội,4,14935 - 61033 - 06886 - 00285 - 98794 - 92052
2025-10-02,MB,Hà Nội,5,88151 - 83092 - 62360
2025-10-02,MB,Hà Nội,6,03453 - 89334 - 62576
2025-10-02,MB,Hà Nội,7,38631 - 47630 - 20424 - 07165
2025-10-02,MT,Đà Nẵng,ĐB,00815
2025-10-02,MT,Đà Nẵng,1,30556
2025-10-02,MT,Đà Nẵng,2,71624
2025-10-02,MT,Đà Nẵng,3,12341 - 61787 - 12684 - 26337 - 52164 - 91297
2025-10-02,MT,Đà Nẵng,4,68744 - 46395 - 27298 - 32478 - 34250 - 40742
