Date,Region,Province,Prize,Numbers
2024-10-01,MB,Hà Nội,ĐB,90897
2024-10-01,MB,Hà Nội,1,88312
2024-10-01,MB,Hà Nội,2,77468
2024-10-01,MB,Hà Nội,3,68363 - 57293 - 29371 - 34786 - 13973 - 25064
2024-10-01,MB,Hà Nội,4,57999 - 55028 - 34571 - 81784 - 58200 - 12382
2024-10-01,MB,Hà Nội,5,52221 - 27872 - 74472
2024-10-01,MB,Hà Nội,6,87518 - 08216 - 68991
2024-10-01,MB,Hà Nội,7,62073 - 18498 - 91297 - 27147
2024-10-01,MT,Đà Nẵng,ĐB,85731
2024-10-01,MT,Đà Nẵng,1,61224
2024-10-01,MT,Đà Nẵng,2,93246
2024-10-01,MT,Đà Nẵng,3,30502 - 32285 - 04938 - 53625 - 75164 - 46904
2024-10-01,MT,Đà Nẵng,4,14323 - 00998 - 75414 - 22652 - 27541 - 47012
2024-10-01,MT,Đà Nẵng,5,26059 - 43019 - 11428
2024-10-01,MT,Đà Nẵng,6,45028 - 02936 - 74421
2024-10-01,MT,Đà Nẵng,7,37903 - 51760 - 24549 - 27437
2024-10-01,MT,Đà Nẵng,8,83099
2024-10-01,MT,Khánh Hòa,ĐB,59647
2024-10-01,MT,Khánh Hòa,1,72569
2024-10-01,MT,Khánh Hòa,2,82878
2024-10-01,MT,Khánh Hòa,3,82938 - 96141 - 95846 - 69788 - 55726 - 99279
2024-10-01,MT,Khánh Hòa,4,64614 - 01965 - 22571 - 31266 - 10746 - 64357
2024-10-01,MT,Khánh Hòa,5,40996 - 52303 - 54936
2024-10-01,MT,Khánh Hòa,6,46210 - 99731 - 08722
2024-10-01,MT,Khánh Hòa,7,39272 - 53759 - 65797 - 57713
2024-10-01,MT,Khánh Hòa,8,86139
2024-10-01,MN,TP. HCM,ĐB,83393
2024-10-01,MN,TP. HCM,1,27377
2024-10-01,MN,TP. HCM,2,02689
2024-10-01,MN,TP. HCM,3,69220 - 96904 - 53121 - 10481 - 63463 - 45051
2024-10-01,MN,TP. HCM,4,11108 - 17563 - 36682 - 89139 - 42747 - 21797
2024-10-01,MN,TP. HCM,5,76284 - 67343 - 43339
2024-10-01,MN,TP. HCM,6,59774 - 48236 - 83231
2024-10-01,MN,TP. HCM,7,74739 - 62377 - 75821 - 49408
2024-10-01,MN,TP. HCM,8,81224
2024-10-01,MN,Đồng Tháp,ĐB,68471
2024-10-01,MN,Đồng Tháp,1,22283
2024-10-01,MN,Đồng Tháp,2,10687
2024-10-01,MN,Đồng Tháp,3,77748 - 59693 - 09555 - 90305 - 29947 - 68435
2024-10-01,MN,Đồng Tháp,4,27483 - 20546 - 25598 - 51005 - 78159 - 17824
2024-10-01,MN,Đồng Tháp,5,28255 - 93477 - 44197
2024-10-01,MN,Đồng Tháp,6,09332 - 56565 - 24751
2024-10-01,MN,Đồng Tháp,7,47335 - 61581 - 86067 - 36419
2024-10-01,MN,Đồng Tháp,8,29128
2024-10-01,MN,Cà Mau,ĐB,20977
2024-10-01,MN,Cà Mau,1,98220
2024-10-01,MN,Cà Mau,2,80614
2024-10-01,MN,Cà Mau,3,60478 - 96241 - 55213 - 03573 - 83609 - 41847
2024-10-01,MN,Cà Mau,4,79605 - 32315 - 31488 - 36563 - 11428 - 41473
2024-10-01,MN,Cà Mau,5,59915 - 73235 - 57801
2024-10-01,MN,Cà Mau,6,15723 - 22295 - 44157
2024-10-01,MN,Cà Mau,7,53267 - 91919 - 69329 - 02360
2024-10-01,MN,Cà Mau,8,77425
2024-10-02,MB,Hà Nội,ĐB,79125
2024-10-02,MB,Hà Nội,1,57359
2024-10-02,MB,Hà Nội,2,85465
2024-10-02,MB,Hà Nội,3,24512 - 43789 - 03595 - 81673 - 98247 - 51109
2024-10-02,MB,Hà Nội,4,60992 - 99884 - 23778 - 89882 - 90140 - 16026
2024-10-02,MB,Hà Nội,5,22944 - 03952 - 46165
2024-10-02,MB,Hà Nội,6,06469 - 65775 - 57920
2024-10-02,MB,Hà Nội,7,43528 - 57208 - 72905 - 50081
2024-10-02,MT,Đà Nẵng,ĐB,16266
2024-10-02,MT,Đà Nẵng,1,69305
2024-10-02,MT,Đà Nẵng,2,06681
2024-10-02,MT,Đà Nẵng,3,44791 - 38089 - 73641 - 02230 - 89895 - 40538
2024-10-02,MT,Đà Nẵng,4,86058 - 51764 - 51478 - 49443 - 57289 - 98770
2024-10-02,MT,Đà Nẵng,5,42117 - 47061 - 96788
2024-10-02,MT,Đà Nẵng,6,45219 - 35466 - 09863
2024-10-02,MT,Đà Nẵng,7,98717 - 51440 - 81709 - 04722
2024-10-02,MT,Đà Nẵng,8,58992
2024-10-02,MT,Khánh Hòa,ĐB,28406
2024-10-02,MT,Khánh Hòa,1,90700
2024-10-02,MT,Khánh Hòa,2,17108
2024-10-02,MT,Khánh Hòa,3,88529 - 45727 - 08022 - 09910 - 13329 - 30704
2024-10-02,MT,Khánh Hòa,4,33334 - 24436 - 62287 - 86613 - 21655 - 18943
2024-10-02,MT,Khánh Hòa,5,31988 - 12670 - 11574
2024-10-02,MT,Khánh Hòa,6,89006 - 17101 - 62623
2024-10-02,MT,Khánh Hòa,7,57446 - 53947 - 33157 - 59030
2024-10-02,MT,Khánh Hòa,8,90061
2024-10-02,MN,TP. HCM,ĐB,61727
2024-10-02,MN,TP. HCM,1,66066
2024-10-02,MN,TP. HCM,2,11042
2024-10-02,MN,TP. HCM,3,95159 - 46151 - 85900 - 05234 - 42179 - 65551
2024-10-02,MN,TP. HCM,4,56883 - 82586 - 88491 - 61106 - 13307 - 35803
2024-10-02,MN,TP. HCM,5,95362 - 44789 - 72032
2024-10-02,MN,TP. HCM,6,32442 - 51316 - 35897
2024-10-02,MN,TP. HCM,7,24200 - 86217 - 12039 - 02286
2024-10-02,MN,TP. HCM,8,83316
2024-10-02,MN,Đồng Tháp,ĐB,96549
2024-10-02,MN,Đồng Tháp,1,35306
2024-10-02,MN,Đồng Tháp,2,45432
2024-10-02,MN,Đồng Tháp,3,03952 - 06909 - 24558 - 77829 - 33025 - 67076
2024-10-02,MN,Đồng Tháp,4,23466 - 75543 - 08834 - 06146 - 13973 - 71021
2024-10-02,MN,Đồng Tháp,5,87738 - 91020 - 37605
2024-10-02,MN,Đồng Tháp,6,44325 - 25666 - 44336
2024-10-02,MN,Đồng Tháp,7,13977 - 01037 - 02239 - 76642
2024-10-02,MN,Đồng Tháp,8,06135
2024-10-02,MN,Cà Mau,ĐB,87876
2024-10-02,MN,Cà Mau,1,54338
2024-10-02,MN,Cà Mau,2,90631
2024-10-02,MN,Cà Mau,3,40977 - 49340 - 63525 - 18806 - 65992 - 45494
2024-10-02,MN,Cà Mau,4,14136 - 21269 - 24844 - 49338 - 55921 - 30603
2024-10-02,MN,Cà Mau,5,81109 - 49332 - 19036
2024-10-02,MN,Cà Mau,6,93610 - 73982 - 07791
2024-10-02,MN,Cà Mau,7,01382 - 83198 - 02117 - 48721
2024-10-02,MN,Cà Mau,8,92519
2024-10-03,MB,Hà Nội,ĐB,05048
2024-10-03,MB,Hà Nội,1,99523
2024-10-03,MB,Hà Nội,2,66394
2024-10-03,MB,Hà Nội,3,91503 - 86083 - 73904 - 30148 - 34140 - 76721
2024-10-03,MB,Hà Nội,4,72583 - 79822 - 85268 - 71085 - 72997 - 13684
2024-10-03,MB,Hà Nội,5,30745 - 09564 - 74143
2024-10-03,MB,Hà Nội,6,54095 - 09192 - 42631
2024-10-03,MB,Hà Nội,7,77747 - 20070 - 30294 - 63032
2024-10-03,MT,Đà Nẵng,ĐB,77883
2024-10-03,MT,Đà Nẵng,1,67262
2024-10-03,MT,Đà Nẵng,2,50707
2024-10-03,MT,Đà Nẵng,3,83395 - 00902 - 13984 - 46909 - 92548 - 58897
2024-10-03,MT,Đà Nẵng,4,69003 - 10890 - 79800 - 87911 - 48455 - 87193
2024-10-03,MT,Đà Nẵng,5,96957 - 68124 - 16393
2024-10-03,MT,Đà Nẵng,6,12542 - 26133 - 69342
2024-10-03,MT,Đà Nẵng,7,42553 - 38583 - 63638 - 11812
2024-10-03,MT,Đà Nẵng,8,65663
2024-10-03,MT,Khánh Hòa,ĐB,85220
2024-10-03,MT,Khánh Hòa,1,49015
2024-10-03,MT,Khánh Hòa,2,35546
2024-10-03,MT,Khánh Hòa,3,27945 - 30539 - 15163 - 94243 - 17657 - 51768
2024-10-03,MT,Khánh Hòa,4,24938 - 28098 - 06061 - 66851 - 87565 - 95998
2024-10-03,MT,Khánh Hòa,5,80511 - 18940 - 97695
2024-10-03,MT,Khánh Hòa,6,39529 - 74076 - 66126
2024-10-03,MT,Khánh Hòa,7,23375 - 74912 - 02930 - 77724
2024-10-03,MT,Khánh Hòa,8,92899
2024-10-03,MN,TP. HCM,ĐB,66039
2024-10-03,MN,TP. HCM,1,12337
2024-10-03,MN,TP. HCM,2,37588
2024-10-03,MN,TP. HCM,3,56305 - 34877 - 19275 - 47420 - 72579 - 38769
2024-10-03,MN,TP. HCM,4,77747 - 38301 - 69508 - 13678 - 42843 - 19704
2024-10-03,MN,TP. HCM,5,80191 - 75319 - 39248
2024-10-03,MN,TP. HCM,6,47874 - 65527 - 88746
2024-10-03,MN,TP. HCM,7,08430 - 45557 - 06823 - 54555
2024-10-03,MN,TP. HCM,8,63069
2024-10-03,MN,Đồng Tháp,ĐB,67229
2024-10-03,MN,Đồng Tháp,1,21006
2024-10-03,MN,Đồng Tháp,2,81328
2024-10-03,MN,Đồng Tháp,3,33006 - 71636 - 50245 - 47373 - 90785 - 97717
2024-10-03,MN,Đồng Tháp,4,58390 - 43735 - 64725 - 74543 - 88569 - 93547
2024-10-03,MN,Đồng Tháp,5,63371 - 74006 - 11542
2024-10-03,MN,Đồng Tháp,6,16916 - 90592 - 48262
2024-10-03,MN,Đồng Tháp,7,47039 - 94549 - 12579 - 70435
2024-10-03,MN,Đồng Tháp,8,35090
2024-10-03,MN,Cà Mau,ĐB,04152
2024-10-03,MN,Cà Mau,1,22238
2024-10-03,MN,Cà Mau,2,24788
2024-10-03,MN,Cà Mau,3,27101 - 83858 - 46651 - 08932 - 61790 - 84282
2024-10-03,MN,Cà Mau,4,59971 - 10720 - 69418 - 48742 - 22393 - 86198
2024-10-03,MN,Cà Mau,5,13972 - 74835 - 02484
2024-10-03,MN,Cà Mau,6,02881 - 33314 - 73378
2024-10-03,MN,Cà Mau,7,88182 - 22250 - 61961 - 44001
2024-10-03,MN,Cà Mau,8,79585
2024-10-04,MB,Hà Nội,ĐB,96250
2024-10-04,MB,Hà Nội,1,81795
2024-10-04,MB,Hà Nội,2,64808
2024-10-04,MB,Hà Nội,3,59125 - 30522 - 89335 - 87175 - 51198 - 04385
2024-10-04,MB,Hà Nội,4,16948 - 51760 - 93335 - 96326 - 62556 - 83660
2024-10-04,MB,Hà Nội,5,45766 - 20586 - 97492
2024-10-04,MB,Hà Nội,6,90795 - 54804 - 40643
2024-10-04,MB,Hà Nội,7,81557 - 12926 - 02715 - 40760
2024-10-04,MT,Đà Nẵng,ĐB,42350
2024-10-04,MT,Đà Nẵng,1,35140
2024-10-04,MT,Đà Nẵng,2,78026
2024-10-04,MT,Đà Nẵng,3,68928 - 21328 - 00557 - 19803 - 06640 - 00739
2024-10-04,MT,Đà Nẵng,4,65040 - 23137 - 12669 - 42935 - 48115 - 11265
2024-10-04,MT,Đà Nẵng,5,45614 - 63453 - 84982
2024-10-04,MT,Đà Nẵng,6,59419 - 90428 - 06383
2024-10-04,MT,Đà Nẵng,7,82387 - 57615 - 47863 - 91169
2024-10-04,MT,Đà Nẵng,8,27197
2024-10-04,MT,Khánh Hòa,ĐB,64425
2024-10-04,MT,Khánh Hòa,1,79026
2024-10-04,MT,Khánh Hòa,2,95202
2024-10-04,MT,Khánh Hòa,3,43673 - 61489 - 18091 - 59094 - 50405 - 65701
2024-10-04,MT,Khánh Hòa,4,94615 - 15190 - 42758 - 33871 - 04147 - 00241
2024-10-04,MT,Khánh Hòa,5,07740 - 17844 - 82956
2024-10-04,MT,Khánh Hòa,6,07906 - 53414 - 51019
2024-10-04,MT,Khánh Hòa,7,77387 - 17026 - 78438 - 15315
2024-10-04,MT,Khánh Hòa,8,61041
2024-10-04,MN,TP. HCM,ĐB,51255
2024-10-04,MN,TP. HCM,1,13683
2024-10-04,MN,TP. HCM,2,09373
2024-10-04,MN,TP. HCM,3,10817 - 44553 - 04549 - 41147 - 89001 - 07520
2024-10-04,MN,TP. HCM,4,57743 - 41759 - 83334 - 71499 - 52344 - 72408
2024-10-04,MN,TP. HCM,5,70912 - 84897 - 09966
2024-10-04,MN,TP. HCM,6,35752 - 15653 - 53855
2024-10-04,MN,TP. HCM,7,24966 - 91584 - 83484 - 04179
2024-10-04,MN,TP. HCM,8,90090
2024-10-04,MN,Đồng Tháp,ĐB,88540
2024-10-04,MN,Đồng Tháp,1,11130
2024-10-04,MN,Đồng Tháp,2,09266
2024-10-04,MN,Đồng Tháp,3,01278 - 42835 - 50654 - 14919 - 45347 - 69290
2024-10-04,MN,Đồng Tháp,4,40634 - 24270 - 22733 - 47045 - 49217 - 63832
2024-10-04,MN,Đồng Tháp,5,36289 - 45939 - 98899
2024-10-04,MN,Đồng Tháp,6,96529 - 84109 - 70755
2024-10-04,MN,Đồng Tháp,7,69652 - 21865 - 02334 - 49409
2024-10-04,MN,Đồng Tháp,8,89416
2024-10-04,MN,Cà Mau,ĐB,06220
2024-10-04,MN,Cà Mau,1,93193
2024-10-04,MN,Cà Mau,2,34516
2024-10-04,MN,Cà Mau,3,85836 - 45700 - 26810 - 09427 - 24729 - 98323
2024-10-04,MN,Cà Mau,4,87084 - 77650 - 17780 - 18738 - 34138 - 15367
2024-10-04,MN,Cà Mau,5,31780 - 52527 - 61518
2024-10-04,MN,Cà Mau,6,00665 - 33973 - 19833
2024-10-04,MN,Cà Mau,7,12078 - 12724 - 14946 - 22340
2024-10-04,MN,Cà Mau,8,93183
2024-10-05,MB,Hà Nội,ĐB,12326
2024-10-05,MB,Hà Nội,1,11591
2024-10-05,MB,Hà Nội,2,66405
2024-10-05,MB,Hà Nội,3,75874 - 60643 - 34404 - 26750 - 99354 - 58093
2024-10-05,MB,Hà Nội,4,73574 - 63558 - 46991 - 55237 - 75679 - 73013
2024-10-05,MB,Hà Nội,5,27058 - 35624 - 83354
2024-10-05,MB,Hà Nội,6,50448 - 76399 - 62759
2024-10-05,MB,Hà Nội,7,52199 - 03225 - 54888 - 55559
2024-10-05,MT,Đà Nẵng,ĐB,83544
2024-10-05,MT,Đà Nẵng,1,81945
2024-10-05,MT,Đà Nẵng,2,35223
2024-10-05,MT,Đà Nẵng,3,08710 - 69032 - 17157 - 19702 - 30875 - 37144
2024-10-05,MT,Đà Nẵng,4,75769 - 73620 - 64957 - 79744 - 25467 - 26357
2024-10-05,MT,Đà Nẵng,5,01558 - 73849 - 79056
2024-10-05,MT,Đà Nẵng,6,82031 - 91160 - 02957
2024-10-05,MT,Đà Nẵng,7,91965 - 53083 - 06082 - 10975
2024-10-05,MT,Đà Nẵng,8,38592
2024-10-05,MT,Khánh Hòa,ĐB,85643
2024-10-05,MT,Khánh Hòa,1,59729
2024-10-05,MT,Khánh Hòa,2,28865
2024-10-05,MT,Khánh Hòa,3,95213 - 31105 - 96198 - 33690 - 03650 - 69646
2024-10-05,MT,Khánh Hòa,4,32626 - 03300 - 50579 - 84578 - 74796 - 13130
2024-10-05,MT,Khánh Hòa,5,28358 - 95819 - 91785
2024-10-05,MT,Khánh Hòa,6,54553 - 23171 - 54083
2024-10-05,MT,Khánh Hòa,7,97327 - 90043 - 51324 - 09345
2024-10-05,MT,Khánh Hòa,8,09687
2024-10-05,MN,TP. HCM,ĐB,82274
2024-10-05,MN,TP. HCM,1,25653
2024-10-05,MN,TP. HCM,2,68593
2024-10-05,MN,TP. HCM,3,19523 - 71530 - 93053 - 00615 - 87926 - 60594
2024-10-05,MN,TP. HCM,4,79908 - 08161 - 43797 - 06091 - 69993 - 73569
2024-10-05,MN,TP. HCM,5,30457 - 95974 - 51463
2024-10-05,MN,TP. HCM,6,13640 - 68135 - 28242
2024-10-05,MN,TP. HCM,7,83188 - 31537 - 81995 - 19408
2024-10-05,MN,TP. HCM,8,43385
2024-10-05,MN,Đồng Tháp,ĐB,73470
2024-10-05,MN,Đồng Tháp,1,78055
2024-10-05,MN,Đồng Tháp,2,97231
2024-10-05,MN,Đồng Tháp,3,87886 - 63053 - 19001 - 24616 - 06107 - 90299
2024-10-05,MN,Đồng Tháp,4,76037 - 00949 - 16206 - 68947 - 47545 - 67553
2024-10-05,MN,Đồng Tháp,5,77256 - 09256 - 78260
2024-10-05,MN,Đồng Tháp,6,31503 - 30841 - 12762
2024-10-05,MN,Đồng Tháp,7,68948 - 62971 - 23459 - 56293
2024-10-05,MN,Đồng Tháp,8,84279
2024-10-05,MN,Cà Mau,ĐB,89172
2024-10-05,MN,Cà Mau,1,93204
2024-10-05,MN,Cà Mau,2,06014
2024-10-05,MN,Cà Mau,3,15025 - 50000 - 38787 - 61723 - 13699 - 06069
2024-10-05,MN,Cà Mau,4,46867 - 18645 - 30476 - 75723 - 38412 - 42122
2024-10-05,MN,Cà Mau,5,65469 - 38886 - 50695
2024-10-05,MN,Cà Mau,6,30302 - 30019 - 36804
2024-10-05,MN,Cà Mau,7,29231 - 80466 - 33154 - 04637
2024-10-05,MN,Cà Mau,8,08493
2024-10-06,MB,Hà Nội,ĐB,67778
2024-10-06,MB,Hà Nội,1,85417
2024-10-06,MB,Hà Nội,2,67687
2024-10-06,MB,Hà Nội,3,97746 - 93652 - 15639 - 58804 - 62399 - 52616
2024-10-06,MB,Hà Nội,4,44752 - 12715 - 33477 - 94467 - 66909 - 14881
2024-10-06,MB,Hà Nội,5,95851 - 68385 - 96143
2024-10-06,MB,Hà Nội,6,32589 - 07571 - 24394
2024-10-06,MB,Hà Nội,7,93739 - 36397 - 85275 - 18822
2024-10-06,MT,Đà Nẵng,ĐB,25573
2024-10-06,MT,Đà Nẵng,1,13141
2024-10-06,MT,Đà Nẵng,2,60888
2024-10-06,MT,Đà Nẵng,3,06099 - 87147 - 47233 - 82788 - 80206 - 47649
2024-10-06,MT,Đà Nẵng,4,07256 - 80578 - 76428 - 01596 - 55363 - 45587
2024-10-06,MT,Đà Nẵng,5,47980 - 80807 - 51033
2024-10-06,MT,Đà Nẵng,6,83029 - 62214 - 29414
2024-10-06,MT,Đà Nẵng,7,37007 - 70851 - 75137 - 63482
2024-10-06,MT,Đà Nẵng,8,73413
2024-10-06,MT,Khánh Hòa,ĐB,17584
2024-10-06,MT,Khánh Hòa,1,20588
2024-10-06,MT,Khánh Hòa,2,51248
2024-10-06,MT,Khánh Hòa,3,03324 - 51686 - 67215 - 78044 - 57137 - 35913
2024-10-06,MT,Khánh Hòa,4,55399 - 39359 - 49013 - 37241 - 76236 - 54915
2024-10-06,MT,Khánh Hòa,5,67780 - 22970 - 22233
2024-10-06,MT,Khánh Hòa,6,45152 - 04506 - 54938
2024-10-06,MT,Khánh Hòa,7,06155 - 53768 - 33556 - 26062
2024-10-06,MT,Khánh Hòa,8,01423
2024-10-06,MN,TP. HCM,ĐB,00806
2024-10-06,MN,TP. HCM,1,31892
2024-10-06,MN,TP. HCM,2,60733
2024-10-06,MN,TP. HCM,3,54670 - 32660 - 83785 - 89485 - 72898 - 03396
2024-10-06,MN,TP. HCM,4,45698 - 96877 - 04824 - 89996 - 34483 - 05516
2024-10-06,MN,TP. HCM,5,76581 - 25072 - 45403
2024-10-06,MN,TP. HCM,6,16596 - 99858 - 87478
2024-10-06,MN,TP. HCM,7,74157 - 09850 - 47477 - 72567
2024-10-06,MN,TP. HCM,8,02758
2024-10-06,MN,Đồng Tháp,ĐB,69827
2024-10-06,MN,Đồng Tháp,1,97565
2024-10-06,MN,Đồng Tháp,2,26060
2024-10-06,MN,Đồng Tháp,3,55137 - 97484 - 53136 - 51715 - 59228 - 08247
2024-10-06,MN,Đồng Tháp,4,74778 - 44911 - 00275 - 53015 - 64445 - 25648
2024-10-06,MN,Đồng Tháp,5,84195 - 83887 - 30532
2024-10-06,MN,Đồng Tháp,6,06298 - 66652 - 83071
2024-10-06,MN,Đồng Tháp,7,03624 - 76516 - 38833 - 08058
2024-10-06,MN,Đồng Tháp,8,52258
2024-10-06,MN,Cà Mau,ĐB,08675
2024-10-06,MN,Cà Mau,1,42875
2024-10-06,MN,Cà Mau,2,56698
2024-10-06,MN,Cà Mau,3,30993 - 37635 - 65782 - 34475 - 73615 - 20476
2024-10-06,MN,Cà Mau,4,39669 - 47485 - 25004 - 82114 - 11248 - 56962
2024-10-06,MN,Cà Mau,5,90140 - 47821 - 05946
2024-10-06,MN,Cà Mau,6,21853 - 18801 - 55722
2024-10-06,MN,Cà Mau,7,74478 - 61983 - 78293 - 84859
2024-10-06,MN,Cà Mau,8,64528
2024-10-07,MB,Hà Nội,ĐB,39815
2024-10-07,MB,Hà Nội,1,83760
2024-10-07,MB,Hà Nội,2,32448
2024-10-07,MB,Hà Nội,3,67907 - 61737 - 75958 - 96203 - 27976 - 16027
2024-10-07,MB,Hà Nội,4,89493 - 10460 - 74477 - 80027 - 92925 - 41746
2024-10-07,MB,Hà Nội,5,58768 - 48960 - 72540
2024-10-07,MB,Hà Nội,6,49429 - 81610 - 16889
2024-10-07,MB,Hà Nội,7,80822 - 18756 - 30337 - 26713
2024-10-07,MT,Đà Nẵng,ĐB,99350
2024-10-07,MT,Đà Nẵng,1,13217
2024-10-07,MT,Đà Nẵng,2,22054
2024-10-07,MT,Đà Nẵng,3,47079 - 88724 - 43710 - 55986 - 91808 - 31343
2024-10-07,MT,Đà Nẵng,4,04804 - 37232 - 53749 - 33139 - 23045 - 13080
2024-10-07,MT,Đà Nẵng,5,79744 - 56687 - 59623
2024-10-07,MT,Đà Nẵng,6,74357 - 22071 - 06950
2024-10-07,MT,Đà Nẵng,7,36737 - 75270 - 78026 - 85836
2024-10-07,MT,Đà Nẵng,8,13511
2024-10-07,MT,Khánh Hòa,ĐB,59092
2024-10-07,MT,Khánh Hòa,1,97912
2024-10-07,MT,Khánh Hòa,2,33179
2024-10-07,MT,Khánh Hòa,3,28337 - 41326 - 68733 - 29274 - 06696 - 83116
2024-10-07,MT,Khánh Hòa,4,52054 - 09348 - 39296 - 21721 - 10697 - 77244
2024-10-07,MT,Khánh Hòa,5,47989 - 47489 - 22296
2024-10-07,MT,Khánh Hòa,6,16479 - 71894 - 69436
2024-10-07,MT,Khánh Hòa,7,05953 - 37901 - 53363 - 85451
2024-10-07,MT,Khánh Hòa,8,64007
2024-10-07,MN,TP. HCM,ĐB,88319
