Date,Region,Province,Prize,Numbers
2024-07-01,MB,Hà Nội,ĐB,68002
2024-07-01,MB,Hà Nội,1,32661
2024-07-01,MB,Hà Nội,2,98320
2024-07-01,MB,Hà Nội,3,79687 - 74731 - 52747 - 84267 - 45183 - 33142
2024-07-01,MB,Hà Nội,4,33402 - 02042 - 01421 - 01859 - 89616 - 66388
2024-07-01,MB,Hà Nội,5,66909 - 76832 - 72031
2024-07-01,MB,Hà Nội,6,66125 - 26687 - 23937
2024-07-01,MB,Hà Nội,7,99614 - 17852 - 94526 - 24108
2024-07-01,MT,Đà Nẵng,ĐB,21314
2024-07-01,MT,Đà Nẵng,1,57323
2024-07-01,MT,Đà Nẵng,2,64647
2024-07-01,MT,Đà Nẵng,3,53609 - 40459 - 99810 - 50866 - 63657 - 31813
2024-07-01,MT,Đà Nẵng,4,71447 - 81273 - 26647 - 07891 - 21600 - 96395
2024-07-01,MT,Đà Nẵng,5,08236 - 31602 - 36630
2024-07-01,MT,Đà Nẵng,6,75304 - 70767 - 34276
2024-07-01,MT,Đà Nẵng,7,21780 - 27544 - 38965 - 77559
2024-07-01,MT,Đà Nẵng,8,26750
2024-07-01,MT,Khánh Hòa,ĐB,58459
2024-07-01,MT,Khánh Hòa,1,56629
2024-07-01,MT,Khánh Hòa,2,17140
2024-07-01,MT,Khánh Hòa,3,51026 - 59076 - 34062 - 12731 - 72056 - 33996
2024-07-01,MT,Khánh Hòa,4,73487 - 44774 - 32274 - 64075 - 50652 - 55278
2024-07-01,MT,Khánh Hòa,5,12374 - 46278 - 32283
2024-07-01,MT,Khánh Hòa,6,35367 - 17601 - 45152
2024-07-01,MT,Khánh Hòa,7,38482 - 65635 - 93878 - 46765
2024-07-01,MT,Khánh Hòa,8,53508
2024-07-01,MN,TP. HCM,ĐB,38555
2024-07-01,MN,TP. HCM,1,51986
2024-07-01,MN,TP. HCM,2,85342
2024-07-01,MN,TP. HCM,3,98271 - 08016 - 62970 - 89713 - 44261 - 98687
2024-07-01,MN,TP. HCM,4,52311 - 85964 - 02729 - 59753 - 27819 - 81181
2024-07-01,MN,TP. HCM,5,29665 - 86353 - 80391
2024-07-01,MN,TP. HCM,6,46345 - 43183 - 84539
2024-07-01,MN,TP. HCM,7,82402 - 92692 - 22648 - 32485
2024-07-01,MN,TP. HCM,8,94324
2024-07-01,MN,Đồng Tháp,ĐB,43341
2024-07-01,MN,Đồng Tháp,1,53208
2024-07-01,MN,Đồng Tháp,2,38144
2024-07-01,MN,Đồng Tháp,3,48829 - 32461 - 53225 - 80643 - 35187 - 69650
2024-07-01,MN,Đồng Tháp,4,04222 - 68382 - 22548 - 04357 - 43356 - 27153
2024-07-01,MN,Đồng Tháp,5,24629 - 56350 - 14350
